date,trend_name,velocity,fatigue,retention
2025-01-01,Skibidi Toilet,0.024387963960722285,0.021675545954071104,0.05838610100475958
2025-01-02,Skibidi Toilet,0.07848961017129086,0.08897416247900194,0.0941238601698173
2025-01-03,Skibidi Toilet,0.0,0.0,0.1491871073193511
2025-01-04,Skibidi Toilet,0.0,0.11520471272329702,0.1536147227938511
2025-01-05,Skibidi Toilet,0.0349420525019336,0.19186235501500137,0.08531633843733333
2025-01-06,Skibidi Toilet,0.04058054398344017,0.09674631531080384,0.03131170410076947
2025-01-07,Skibidi Toilet,0.0,0.14479625180257344,0.15974792150302247
2025-01-08,Skibidi Toilet,0.009231376289762037,0.14125875957996403,0.12691725458451333
2025-01-09,Skibidi Toilet,0.0,0.25648267668389496,0.035713410419872874
2025-01-10,Skibidi Toilet,0.07673156654306304,0.12978906344399688,0.13613946518527914
2025-01-11,Skibidi Toilet,0.10672446098642573,0.24904513036896134,0.12777464320773446
2025-01-12,Skibidi Toilet,0.02458689714259288,0.29084424554234667,0.13434431751824835
2025-01-13,Skibidi Toilet,0.06635584176626728,0.30422026760458354,0.14813236705429492
2025-01-14,Skibidi Toilet,0.10348764519810164,0.29393019772228385,0.15494708608075344
2025-01-15,Skibidi Toilet,0.0018289229210820684,0.2510350044387056,0.15608787762943482
2025-01-16,Skibidi Toilet,0.13924240537116161,0.2272296292258575,0.20193998663037777
2025-01-17,Skibidi Toilet,0.05059356034187926,0.18665710429855062,0.1587445156040406
2025-01-18,Skibidi Toilet,0.14936604694789218,0.29136762725900944,0.30280643048366584
2025-01-19,Skibidi Toilet,0.11060115835689752,0.30354784576467075,0.27826385910586743
2025-01-20,Skibidi Toilet,0.3099679325166153,0.37039887532721266,0.32463790421846817
2025-01-21,Skibidi Toilet,0.3530072133916882,0.41663289448078566,0.48019464769853726
2025-01-22,Skibidi Toilet,0.41138335575430246,0.3551567756895021,0.485086025986551
2025-01-23,Skibidi Toilet,0.4190359875298309,0.36004071307725194,0.5414349197487957
2025-01-24,Skibidi Toilet,0.5691716843692612,0.4285691112820948,0.5133691418726661
2025-01-25,Skibidi Toilet,0.590040913804732,0.4041533602359402,0.7449711553894063
2025-01-26,Skibidi Toilet,0.7501917565527128,0.46194174177915687,0.7959786946467655
2025-01-27,Skibidi Toilet,0.7771148512881154,0.49525610223791755,0.9430288703580237
2025-01-28,Skibidi Toilet,0.8448584239918479,0.5174673541515387,0.8132118964980332
2025-01-29,Skibidi Toilet,0.9752181412570582,0.5227305218989545,0.8655713442805016
2025-01-30,Skibidi Toilet,0.9340639149954426,0.5054046637872549,0.85104060839807
2025-01-31,Skibidi Toilet,0.8911565488146307,0.48729318462190535,0.8974796799194584
2025-02-01,Skibidi Toilet,0.9315813098815873,0.5066014737606845,0.8438321938770116
2025-02-02,Skibidi Toilet,0.8263606085444296,0.5432069574555335,0.9296184156456413
2025-02-03,Skibidi Toilet,0.8519664495618274,0.6098466609408081,0.8108030712824207
2025-02-04,Skibidi Toilet,0.7705173648699692,0.6485294388460578,0.7928154821205979
2025-02-05,Skibidi Toilet,0.6471443743651051,0.6256001689231914,0.6803501094114536
2025-02-06,Skibidi Toilet,0.5796886587911826,0.6135182785383381,0.619737564290077
2025-02-07,Skibidi Toilet,0.4083901699894412,0.5703919617069805,0.5675406008657651
2025-02-08,Skibidi Toilet,0.3615324080076055,0.6441505521901916,0.4860212170482129
2025-02-09,Skibidi Toilet,0.3246073318630386,0.6575719920436577,0.33088707351180374
2025-02-10,Skibidi Toilet,0.30030542907384206,0.6617020662832043,0.3789331689292069
2025-02-11,Skibidi Toilet,0.2120971770822716,0.591827965145526,0.3565584448299079
2025-02-12,Skibidi Toilet,0.1601432830099384,0.6768807472587277,0.2416883143784022
2025-02-13,Skibidi Toilet,0.137767925052884,0.667143333129195,0.23006759135454838
2025-02-14,Skibidi Toilet,0.08064847526456398,0.7306708292111384,0.21187747108987776
2025-02-15,Skibidi Toilet,0.08266805099297843,0.6582077907658392,0.16894302093918856
2025-02-16,Skibidi Toilet,0.08672152863739711,0.632218101429907,0.19719139364663507
2025-02-17,Skibidi Toilet,0.016555250901062368,0.7222239447169654,0.10837193529515177
2025-02-18,Skibidi Toilet,0.08072314559616764,0.716166142017733,0.24229432898890235
2025-02-19,Skibidi Toilet,0.0,0.810973062455394,0.14726468704115533
2025-02-20,Skibidi Toilet,0.029704406420529635,0.7044584148493505,0.10230596531395285
2025-02-21,Skibidi Toilet,0.06803853749480324,0.776063197488953,0.0
2025-02-22,Skibidi Toilet,0.0044939968661547505,0.7809666791992322,0.07662108209793367
2025-02-23,Skibidi Toilet,0.03888751394030765,0.9108027775907113,0.10658677592881059
2025-02-24,Skibidi Toilet,0.026526483563084634,0.8324713834285803,0.10070873703036422
2025-02-25,Skibidi Toilet,0.1032683295609624,0.8589351483245795,0.05185028139808283
2025-02-26,Skibidi Toilet,0.0,0.8094438084472578,0.07761560257766108
2025-02-27,Skibidi Toilet,0.031213069650104834,0.8309414427573896,0.025959924201450574
2025-02-28,Skibidi Toilet,0.0,0.833251432840497,0.15080284095622637
2025-03-01,Skibidi Toilet,0.0,0.7520250506497851,0.11274845645930988
